Designator,Mid X,Mid Y,Rotation,Layer
R129,17.15,42.1125,0.0,bottom
R13,81.85,36.75,90.0,bottom
R130,38.85,34.35,270.0,bottom
R131,50.95,15.95,180.0,top
R132,112.25,14.75,0.0,bottom
R133,72.95,53.05,0.0,bottom
R135,82.65,25.65,180.0,bottom
R136,74.45,12.95,270.0,top
R137,73.45,12.95,90.0,top
R138,75.4,8.0,0.0,top
R139,72.45,12.95,270.0,top
R14,97.3,29.2,180.0,top
R140,77.89,3.95,90.0,top
R142,17.15,40.1125,180.0,bottom
R143,89.81,28.76,270.0,bottom
R145,17.15,39.1125,180.0,bottom
R146,22.55,37.8,180.0,bottom
R147,8.858,10.894,90.0,bottom
R148,21.27,44.83,0.0,bottom
R15,100.15,24.5,180.0,bottom
R151,12.45,9.45,90.0,bottom
R152,11.45,9.45,90.0,bottom
R154,2.4,23.55,90.0,top
R155,24.65,29.01,90.0,bottom
R156,26.8,21.49,180.0,bottom
R16,81.85,38.73,90.0,bottom
R160,66.225,41.6,180.0,bottom
R161,66.4,28.35,180.0,top
R162,66.4,27.35,180.0,top
R163,66.9,30.7,180.0,top
R164,16.55,48.65,90.0,bottom
R165,17.091428,47.135,0.0,bottom
R166,66.45,17.85,270.0,bottom
R168,66.75,30.32,180.0,bottom
R169,37.92,29.33,90.0,top
R17,79.25,43.33,180.0,bottom
R170,36.46,29.82,180.0,top
R172,25.59,36.16,0.0,top
R173,45.67,44.41,0.0,top
R174,77.40175,33.225,90.0,bottom
R176,45.67,43.41,0.0,top
R177,49.48,42.87,90.0,top
R178,38.775,37.075,90.0,top
R18,76.65,38.93,270.0,bottom
R180,58.3,25.65,315.0,bottom
R181,27.675,34.6,0.0,bottom
R184,75.45,12.95,270.0,top
R185,14.391,24.356,270.0,top
R186,98.15,20.85,270.0,top
R187,99.15,20.85,270.0,top
R188,31.25,6.85,0.0,top
R189,110.95,5.75,180.0,bottom
R19,82.75,48.35,180.0,bottom
R190,109.05,5.75,0.0,bottom
R191,107.05,4.69,180.0,bottom
R195,61.85,16.5,0.0,bottom
R196,20.3,37.4,180.0,bottom
R197,112.25,16.35,0.0,bottom
R198,8.45,24.05,180.0,top
R2,38.99,46.44,270.0,top
R20,99.55,37.5,180.0,top
R200,75.404938,18.75,0.0,top
R201,75.404938,19.75,0.0,top
R202,75.404938,21.705,0.0,top
R203,75.404938,22.705,0.0,top
R204,53.46,6.64,0.0,bottom
R205,54.65,27.45,90.0,bottom
R206,72.95,52.05,0.0,bottom
R207,55.75,22.35,225.0,bottom
R209,62.84,23.34,45.0,top
R21,90.5968,16.55,0.0,top
R210,64.17,24.67,225.0,top
R211,63.15,30.25,270.0,bottom
R212,62.06,28.16,315.0,bottom
R213,60.74,26.84,135.0,bottom
R214,59.95,24.15,45.0,top
R215,57.25,16.15,90.0,bottom
R216,58.25,16.15,90.0,bottom
R217,57.55,22.15,270.0,bottom
R218,56.85,20.55,0.0,bottom
R219,59.25,16.15,270.0,bottom
R22,84.8,34.5,270.0,top
R220,61.27,25.47,225.0,top
R221,61.96,25.76,315.0,bottom
R222,106.55,9.05,0.0,top
R223,104.95,7.65,90.0,top
R224,60.64,24.44,135.0,bottom
R225,61.55,30.3,90.0,bottom
R226,55.65,13.95,0.0,top
R227,55.65,12.95,0.0,top
R230,102.335,9.05,0.0,top
R231,103.95,7.65,90.0,top
R232,70.3,14.1,270.0,top
R233,107.45,18.45,0.0,top
R235,107.45,14.35,180.0,top
R236,27.09,48.05,180.0,bottom
R237,36.16,34.4,0.0,top
R238,50.48,41.53,90.0,top
R239,36.16,35.4,0.0,top
R24,78.35,16.75,270.0,bottom
R242,69.3,14.1,270.0,top
R246,31.41,30.59,270.0,bottom
R247,107.45,12.85,180.0,top
R248,114.1,9.45,0.0,top
R249,29.59,53.85,180.0,bottom
R25,60.385,22.5,180.0,bottom
R250,26.35,19.5,270.0,top
R251,16.79,55.275,0.0,bottom
R252,33.9,18.85,270.0,bottom
R253,41.85,17.35,0.0,bottom
R254,28.05,21.65,0.0,top
R255,16.79,54.275,0.0,bottom
R256,29.15,48.8,180.0,bottom
R257,26.55,52.55,180.0,bottom
R258,32.05,49.8,180.0,bottom
R259,37.95,55.85,180.0,bottom
R26,107.65,34.04,90.0,top
R260,35.55,51.25,0.0,bottom
R261,42.55,53.05,90.0,bottom
R262,29.94,31.6,0.0,bottom
R263,38.92,31.25,90.0,top
R264,48.42,42.87,270.0,top
R265,80.05,23.35,180.0,bottom
R266,79.15,24.35,180.0,bottom
R267,20.23,11.8,0.0,bottom
R268,28.9,41.98,90.0,bottom
R269,36.46,28.76,0.0,top
R270,17.8,8.1,0.0,bottom
R272,27.76,35.98,0.0,top
R273,41.15,49.35,0.0,bottom
R274,23.48,50.14,270.0,bottom
R275,24.55,50.16,90.0,bottom
R276,33.05,46.05,180.0,bottom
R277,60.2,40.05,270.0,top
R278,59.2,40.05,270.0,top
R29,84.65,31.75,180.0,top
R294,101.85,57.85,0.0,bottom
R3,38.52,42.28,180.0,top
R33,31.4,23.85,270.0,bottom
R335,118.25,18.25,180.0,top
R336,118.25,17.25,180.0,top
R34,63.875,10.45,0.0,top
R35,66.925,10.45,0.0,top
R36,66.58,25.15,180.0,bottom
R39,100.15,20.85,270.0,top
R40,72.2,41.1,90.0,top
R41,42.05,27.8,0.0,bottom
R42,37.45,18.5,90.0,bottom
R43,38.45,18.5,90.0,bottom
R44,36.175,18.475,90.0,bottom
R45,35.175,18.475,90.0,bottom
R46,20.225,12.75,0.0,bottom
R47,73.2,38.95,270.0,top
R48,78.14,30.51,90.0,bottom
R49,71.6,37.35,0.0,top
R50,67.46,24.5,225.0,top
R51,78.12,30.51,270.0,top
R52,99.55,36.55,180.0,top
R53,107.65,31.03,90.0,top
R54,109.55,26.45,90.0,top
R55,109.35,21.15,0.0,top
R56,27.8,19.3,0.0,bottom
R57,27.8,16.3,0.0,bottom
R6,108.9,11.2,180.0,bottom
R61,78.95,18.45,180.0,bottom
R62,109.35,20.15,0.0,top
R63,109.5,23.15,90.0,top
R64,118.05,33.25,270.0,top
R65,34.09,30.15,180.0,bottom
R66,105.1,16.45,270.0,top
R67,65.75,44.1,90.0,top
R68,44.15,27.75,180.0,bottom
R69,44.15,26.8,180.0,bottom
R7,107.95,12.2,180.0,bottom
R70,29.39,30.13,90.0,bottom
R71,30.39,30.13,90.0,bottom
R72,14.02,5.28,90.0,bottom
R73,14.02,3.4,90.0,bottom
R74,34.3,15.635,270.0,top
R75,44.225,18.125,90.0,bottom
R76,31.85,23.75,0.0,top
R77,31.85,22.75,0.0,top
R78,31.85,21.75,0.0,top
R8,104.25,12.2,180.0,bottom
R80,38.35,45.45,0.0,bottom
R81,39.85,34.35,270.0,bottom
R83,62.6,13.55,270.0,bottom
R84,35.785,12.45,270.0,top
R86,44.25,23.45,270.0,bottom
R9,68.65,44.5,0.0,bottom
R90,47.85,21.35,0.0,bottom
R94,47.85,20.35,0.0,bottom
R98,45.25,20.45,90.0,bottom
R99,36.75,9.75,90.0,top
S1,74.25,2.85,0.0,top
S2,93.15,2.85,180.0,top
S3,99.15,2.85,180.0,top
S4,34.45,2.85,0.0,top
S5,54.15,2.85,0.0,top
SP7,49.5,33.6,0.0,top
SP8,11.0,42.0,0.0,bottom
SW1,25.6395,55.954,180.0,bottom
U1,32.92,31.315,270.0,top
U10,45.0,21.882531,180.0,top
U11,23.65,9.75,0.0,bottom
U12,38.02,13.25,270.0,top
U13,40.25,17.382531,0.0,top
U14,48.25,13.25,0.0,top
U15,42.25,13.25,0.0,top
U16,45.25,13.25,0.0,top
U17,79.139938,22.205,0.0,top
U18,72.6,9.5,90.0,top
U19,86.8,12.571251,0.0,top
U20,80.8,12.571251,0.0,top
U21,83.8,12.571251,0.0,top
U22,21.45,41.3125,90.0,bottom
U23,11.918,43.228855,90.0,top
U24,107.78,14.8,270.0,bottom
U25,104.2,14.8,270.0,bottom
U26,70.21,28.51,270.0,bottom
U27,67.77,47.0,270.0,bottom
U28,64.05,46.97,270.0,bottom
U29,26.98,38.7,180.0,top
U30,101.95,20.1,270.0,top
U31,109.25,29.9475,90.0,bottom
U32,38.35,42.95,180.0,bottom
U33,27.15,23.65,180.0,top
U34,59.75,19.25,270.0,bottom
U35,109.78,3.93,90.0,bottom
U36,61.57,36.8,0.0,bottom
U37,32.3,52.15,270.0,bottom
U38,38.75,53.5,90.0,bottom
U39,26.875,26.825,0.0,bottom
U4,37.05,48.76,90.0,bottom
U40,47.4,39.335,0.0,top
U41,44.05,48.65,180.0,bottom
U42,29.85,44.9,270.0,bottom
U43,60.85,11.75,180.0,top
U44,66.925,8.85,0.0,top
U45,63.875,8.85,0.0,top
U46,60.85,8.85,0.0,top
U47,20.03,17.4255,270.0,bottom
U48,23.125,47.675,270.0,bottom
U5,23.65,15.5,90.0,bottom
U6,36.55,25.65,90.0,bottom
U7,52.27,13.35,270.0,top
U8,17.425,4.805,270.0,bottom
U9,33.25,18.7,90.0,top
Y1,82.264,45.692,90.0,bottom
